#stime,dur, runtime, proto, saddr, sport, dir, daddr, dport, state, sjit, djit, stos, dtos, pkts, bytes, trans, mean, stddev, rate, sintpkt, sintdist, sintpktact, sintdistact, sintpktidl, sintdistidl, dintpkt, dintdist, dintpktact, dintdistact, dintpktidl, dintdistidl, Label(Normal:CC:Background) ,Bclus(Normal:CC:Unknown)
2011/08/17 10:01:36.908256,0.250752,0.250752,tcp,83.15.100.82,1224,<?>,147.32.84.229,13363,PA_PA,0.000000,,0,0,3,366,1,0.250752,0.000000,7.976008,250.752000,,0.000000,,250.752000,,,,0.000000,,0.000000,,flow=Background-UDP-Established,Unknown
2011/08/17 10:01:36.908256,0.250752,0.250752,tcp,83.15.100.83,1224,<?>,147.32.84.229,13363,PA_PA,0.000000,,0,0,3,366,1,0.250752,0.000000,7.976008,250.752000,,0.000000,,250.752000,,,,0.000000,,0.000000,,flow=Background-UDP-Established,From-Botnet-V5-TCP-CC42-HTTP-Not-Encrypted
2011/08/17 10:01:45.707829,0.452638,0.452638,tcp,83.15.100.84,1224,<?>,147.32.84.229,13363,PA_PA,4339.434000,4041.378750,0,0,5,409,1,0.452638,0.000000,8.837084,4411.278000,,0.000000,,4411.278000,,3083.971000,,0.000000,,3083.971000,,flow=Background-UDP-Established,Normal-Jist
2011/08/17 10:01:45.707829,0.452638,0.452638,tcp,83.15.100.85,1224,<?>,147.32.84.229,13363,PA_PA,4339.434000,4041.378750,0,0,5,409,1,0.452638,0.000000,8.837084,4411.278000,,0.000000,,4411.278000,,3083.971000,,0.000000,,3083.971000,,flow=Normal-Jist,Unknown
2011/08/17 10:02:24.490101,0.498025,0.498025,tcp,83.15.100.86,1224,<?>,147.32.84.229,13363,PA_PA,0.000000,3.587500,0,0,5,400,1,0.498025,0.000000,8.031725,71.736000,,0.000000,,71.736000,,249.012500,,0.000000,,249.012500,,flow=Normal-Jist,Normal
2011/08/17 10:02:24.490101,0.498025,0.498025,tcp,83.15.100.87,1224,<?>,147.32.84.229,13363,PA_PA,0.000000,3.587500,0,0,5,400,1,0.498025,0.000000,8.031725,71.736000,,0.000000,,71.736000,,249.012500,,0.000000,,249.012500,,flow=Normal-Jist,From-Botnet-V5-TCP-CC43-HTTP-Encrypted
2011/08/17 10:02:36.919000,0.189410,0.189410,tcp,83.15.100.88,1224,<?>,147.32.84.229,13363,PA_PA,0.000000,,0,0,3,367,1,0.189410,0.000000,10.559105,189.410000,,0.000000,,189.410000,,,,0.000000,,0.000000,,flow=From-Botnet-V2-TCP-CC39-HTTP-Not-Encrypted,Unknown
2011/08/17 10:02:36.919000,0.189410,0.189410,tcp,83.15.100.89,1224,<?>,147.32.84.229,13363,PA_PA,0.000000,,0,0,3,367,1,0.189410,0.000000,10.559105,189.410000,,0.000000,,189.410000,,,,0.000000,,0.000000,,flow=From-Botnet-V3-TCP-CC31-HTTP-Encrypted,Normal-Jist
2011/08/17 10:03:36.958704,0.199657,0.199657,tcp,83.15.100.90,1224,<?>,147.32.84.229,13363,PA_PA,0.000000,,0,0,3,367,1,0.199657,0.000000,10.017180,199.657000,,0.000000,,199.657000,,,,0.000000,,0.000000,,flow=From-Botnet-V1-TCP-CC30-Not-Encrypted,From-Botnet-V2-TCP-CC40-HTTP-Not-Encrypted
2011/08/17 10:03:36.958704,0.199657,0.199657,tcp,83.15.100.91,1224,<?>,147.32.84.229,13363,PA_PA,0.000000,,0,0,3,367,1,0.199657,0.000000,10.017180,199.657000,,0.000000,,199.657000,,,,0.000000,,0.000000,,flow=Background,Unknown
